make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km,log_motor_power,log_avg_speed
MG,Cloud EV,Long Range,50.1,135,1700,91,460,79.7,29.6,0,369.1,4.912654885736052,4.390738575275903
Mercedes,EQS,580 4MATIC,101.7,385,2710,95,857,21.1,31.1,2,364.2,5.955837369464831,3.0955776085237074
MG,Cloud EV,Long Range,44.4,135,1700,91,460,20.1,18.6,0,97.7,4.912654885736052,3.0492730404820207
Volvo,C40 Recharge,Single Motor,63.8,170,1990,92,476,30.5,11.4,1,265.5,5.14166355650266,3.449987545831587
BYD,Seal,Dynamic,52.9,150,1860,94,510,26.5,25.4,2,248.6,5.017279836814924,3.3141860046725258
Tata,Tiago EV,Medium Range,19.1,45,1073,90,250,23.0,21.6,2,183.1,3.828641396489095,3.1780538303479458
Smart,#1 Pro+,Standard,60.5,200,1820,92,440,16.6,31.1,1,360.0,5.303304908059076,2.8678989020441064
Toyota,Urban Cruiser EV,Long Range,58.1,144,1740,93,490,34.4,20.6,0,97.7,4.976733742420574,3.5667118201397288
Tata,Punch EV,Smart,24.5,60,1280,90,315,12.9,27.0,1,265.1,4.110873864173311,2.631888840136646
Hyundai,Creta EV,Medium Range,36.6,110,1620,92,390,98.0,43.7,0,186.2,4.709530201312334,4.59511985013459
Mahindra,XUV400,EL Pro,35.3,110,1580,90,456,40.0,27.3,2,45.6,4.709530201312334,3.713572066704308
BMW,i5,eDrive40,75.8,250,2215,94,582,79.1,36.6,0,382.6,5.5254529391317835,4.383275854074314
Maruti Suzuki,e Vitara,Medium Range,43.3,106,1620,93,400,21.0,26.8,1,347.5,4.672828834461906,3.091042453358316
Tata,Harrier EV,Long Range,54.8,165,1950,92,500,12.6,34.7,1,475.0,5.111987788356544,2.6100697927420065
Tata,Harrier EV,Long Range,57.7,165,1950,92,500,33.9,12.8,2,50.0,5.111987788356544,3.5524868292083815
Tata,Nexon EV,Long Range,39.5,105,1610,91,465,22.7,14.9,2,62.1,4.663439094112067,3.1654750481410856
Tata,Punch EV,Smart,24.8,60,1280,90,315,28.0,40.3,0,159.7,4.110873864173311,3.367295829986474
BMW,i5,eDrive40,71.0,250,2215,94,582,27.0,37.6,2,180.1,5.5254529391317835,3.332204510175204
Audi,e-tron GT,RS,77.2,440,2420,94,481,75.3,39.4,0,302.7,6.089044875446846,4.334672938290411
Mercedes,EQS,580 4MATIC,93.9,385,2710,95,857,45.5,42.6,1,296.5,5.955837369464831,3.839452312593311
Smart,#1 Pro+,Standard,56.8,200,1820,92,440,73.5,42.1,0,252.9,5.303304908059076,4.310799125385514
Tata,Nexon EV,Medium Range,28.9,105,1560,91,325,33.0,30.2,2,140.7,4.663439094112067,3.5263605246161616
Hyundai,Creta EV,Medium Range,35.7,110,1620,92,390,21.3,19.1,1,114.4,4.709530201312334,3.104586678466073
Mini,Countryman E,ALL4,56.8,230,2055,93,462,73.5,28.2,0,385.3,5.442417710521793,4.310799125385514
Audi,e-tron GT,RS,75.2,440,2420,94,481,31.2,24.1,1,109.5,6.089044875446846,3.4719664525503626
BMW,iX1,xDrive30,55.2,230,2080,93,440,117.3,25.3,0,365.4,5.442417710521793,4.773223770984341
BYD,e6,GL,69.8,70,2380,88,415,16.9,19.5,1,394.25,4.2626798770413155,2.884800712846709
Mercedes,EQB,350 4MATIC,60.3,215,2175,92,423,33.5,31.2,2,220.7,5.375278407684165,3.5409593240373143
Tata,Tigor EV,Ziptron,25.8,55,1235,90,306,26.2,24.2,1,37.9,4.02535169073515,3.3032169733019514
Tata,Tiago EV,Long Range,23.1,55,1110,90,315,24.1,32.3,1,229.6,4.02535169073515,3.2228678461377385
Mahindra,XUV400,EC Pro,31.6,110,1560,90,375,17.7,35.6,2,193.3,4.709530201312334,2.928523523860541
Tata,Tigor EV,Ziptron,24.8,55,1235,90,306,21.4,16.9,2,30.6,4.02535169073515,3.109060958860994
Tata,Punch EV,Long Range,32.8,90,1355,91,421,90.9,15.4,0,266.4,4.51085950651685,4.520701029361641
Mercedes,EQS,580 4MATIC,99.7,385,2710,95,857,34.5,38.5,2,368.6,5.955837369464831,3.56953269648137
Toyota,Urban Cruiser EV,Long Range,53.9,144,1740,93,490,25.0,19.2,2,94.4,4.976733742420574,3.258096538021482
BMW,iX,xDrive50,90.1,385,2590,94,635,82.1,40.6,0,400.5,5.955837369464831,4.420044701861403
Tata,Tiago EV,Long Range,20.4,55,1110,90,315,102.7,35.3,0,111.6,4.02535169073515,4.641502115235482
BMW,iX,xDrive50,94.2,385,2590,94,635,22.5,15.1,0,98.2,5.955837369464831,3.157000421150113
Porsche,Taycan,Turbo S,77.9,560,2380,94,507,32.9,34.6,0,481.65,6.329720905522696,3.5234150143864045
Citroen,eC3,Shine,27.2,57,1215,89,320,83.0,39.5,0,304.0,4.060443010546419,4.430816798843313
Tata,Tiago EV,Medium Range,19.0,45,1073,90,250,33.6,21.4,0,76.2,3.828641396489095,3.543853682063679
Citroen,eC3,Feel,27.4,57,1200,89,320,20.0,21.0,0,304.0,4.060443010546419,3.044522437723423
Kia,EV9,Long Range AWD,97.4,283,2630,93,561,20.8,20.1,2,85.3,5.648974238161206,3.0819099697950434
Mahindra,XUV400,EC Pro,29.4,110,1560,90,375,32.7,32.5,2,142.8,4.709530201312334,3.517497837358316
Tata,Nexon EV,Medium Range,29.5,105,1560,91,325,25.2,30.9,2,105.5,4.663439094112067,3.265759410767051
Porsche,Taycan,4S,77.3,360,2295,94,512,17.9,32.2,2,486.4,5.8888779583328805,2.9391619220655967
Mahindra,XUV.e8,Long Range,52.3,175,2050,92,450,21.5,23.0,2,58.1,5.170483995038151,3.1135153092103742
Mercedes,EQB,350 4MATIC,64.3,215,2175,92,423,19.2,19.9,1,64.6,5.375278407684165,3.005682604407159
Jaguar,I-PACE,EV400,76.6,294,2208,92,470,30.8,20.1,2,288.7,5.68697535633982,3.459466289786131
Tata,Tigor EV,Ziptron,25.2,55,1235,90,306,22.5,18.5,1,90.4,4.02535169073515,3.157000421150113
Hyundai,Creta EV,Long Range,51.1,135,1690,92,473,32.2,21.5,1,78.8,4.912654885736052,3.502549875922443
Mercedes,EQA,250+,65.9,140,1960,92,528,27.7,26.6,2,138.7,4.948759890378168,3.3568971227655755
Mahindra,XUV400,EL Pro,37.0,110,1580,90,456,16.0,12.5,1,61.1,4.709530201312334,2.833213344056216
MG,Comet EV,Standard,16.7,30,840,89,230,14.7,29.9,2,133.2,3.4339872044851463,2.7536607123542622
Tata,Harrier EV,Long Range,54.8,165,1950,92,500,34.7,42.2,2,139.1,5.111987788356544,3.5751506887855933
Maruti Suzuki,e Vitara,Long Range,59.5,144,1710,93,500,12.5,18.7,1,475.0,4.976733742420574,2.6026896854443837
Audi,e-tron GT,RS,76.4,440,2420,94,481,79.7,31.0,0,290.9,6.089044875446846,4.390738575275903
Tata,Curvv EV,Medium Range,44.3,120,1720,92,502,28.9,20.0,0,115.8,4.795790545596741,3.3978584803966405
MG,ZS EV,Excite,38.8,130,1590,91,400,23.0,25.8,2,84.5,4.875197323201151,3.1780538303479458
Hyundai,Ioniq 5,Long Range RWD,71.7,160,1980,93,631,17.4,20.1,2,428.4,5.081404364984463,2.91235066461494
Tata,Nexon EV,Long Range,39.6,105,1610,91,465,28.1,17.5,0,140.3,4.663439094112067,3.370738174177447
Jaguar,I-PACE,EV400,82.7,294,2208,92,470,33.2,40.7,0,446.5,5.68697535633982,3.5322256440685598
Tata,Sierra EV,Long Range,51.9,165,1900,92,480,23.6,17.0,2,288.1,5.111987788356544,3.202746442938317
Volvo,XC40 Recharge,Twin Motor,73.2,300,2170,92,438,24.2,34.2,2,206.1,5.707110264748875,3.2268439945173775
Hyundai,Ioniq 5,Long Range RWD,68.7,160,1980,93,631,107.4,30.1,0,455.1,5.081404364984463,4.685828089005546
Volvo,C40 Recharge,Single Motor,68.8,170,1990,92,476,35.3,13.4,2,47.6,5.14166355650266,3.591817741270805
Tata,Curvv EV,Medium Range,38.2,120,1720,92,502,26.9,17.4,0,94.1,4.795790545596741,3.32862668882732
MG,Cloud EV,Long Range,48.8,135,1700,91,460,100.0,32.8,1,212.6,4.912654885736052,4.61512051684126
Citroen,eC3,Feel,26.2,57,1200,89,320,29.6,24.4,1,40.4,4.060443010546419,3.4210000089583352
Mercedes,EQA,250+,64.1,140,1960,92,528,25.1,16.9,2,183.1,4.948759890378168,3.261935314328648
Mahindra,XUV400,EL Pro,34.9,110,1580,90,456,27.4,26.5,2,87.4,4.709530201312334,3.3463891451671604
Tata,Punch EV,Long Range,32.9,90,1355,91,421,21.9,17.6,2,293.2,4.51085950651685,3.131136910560194
Audi,e-tron,55 quattro,79.5,300,2595,92,484,86.1,40.7,0,194.2,5.707110264748875,4.467056883858457
Tata,Tiago EV,Long Range,21.3,55,1110,90,315,20.5,15.8,2,31.5,4.02535169073515,3.068052935133617
Hyundai,Creta EV,Medium Range,37.2,110,1620,92,390,18.2,25.6,0,370.5,4.709530201312334,2.9549102790337356
MG,Cloud EV,Long Range,45.1,135,1700,91,460,22.4,25.4,0,112.5,4.912654885736052,3.152736022363656
Mercedes,EQB,350 4MATIC,62.3,215,2175,92,423,20.0,20.2,2,279.4,5.375278407684165,3.044522437723423
Porsche,Taycan,4S,70.9,360,2295,94,512,25.9,24.7,1,486.4,5.8888779583328805,3.292126286607793
Tata,Curvv EV,Medium Range,41.2,120,1720,92,502,27.3,28.0,2,50.2,4.795790545596741,3.342861804649192
Audi,e-tron,55 quattro,82.1,300,2595,92,484,71.7,38.8,0,317.8,5.707110264748875,4.286341384539473
Tata,Curvv EV,Long Range,51.7,150,1780,92,585,18.2,23.0,2,306.2,5.017279836814924,2.9549102790337356
Mahindra,XUV400,EC Pro,32.8,110,1560,90,375,18.8,28.4,1,140.0,4.709530201312334,2.9856819377004897
Mahindra,XEV 9e,Long Range,58.1,175,1900,93,542,23.7,16.9,0,514.9,5.170483995038151,3.2068032436339315
Volvo,XC40 Recharge,Single Motor,60.3,170,2000,92,418,29.6,21.5,0,87.8,5.14166355650266,3.4210000089583352
MG,ZS EV,Excite,39.7,130,1590,91,400,99.3,27.5,1,200.4,4.875197323201151,4.60816569496789
Tata,Punch EV,Long Range,31.9,90,1355,91,421,26.1,24.5,1,372.5,4.51085950651685,3.299533727885655
Tata,Punch EV,Smart,22.5,60,1280,90,315,24.7,27.5,1,89.5,4.110873864173311,3.246490991901174
Jaguar,I-PACE,EV400,74.0,294,2208,92,470,27.2,31.3,2,209.5,5.68697535633982,3.339321977944068
Hyundai,Creta EV,Medium Range,38.0,110,1620,92,390,32.2,40.9,2,104.3,4.709530201312334,3.502549875922443
Tata,Nexon EV,Prime LR,36.7,105,1620,91,465,36.0,41.0,0,171.1,4.663439094112067,3.6109179126442243
Tata,Tiago EV,Medium Range,16.7,45,1073,90,250,18.8,22.7,2,111.8,3.828641396489095,2.9856819377004897
Toyota,Urban Cruiser EV,Long Range,58.3,144,1740,93,490,26.6,11.7,2,49.0,4.976733742420574,3.3178157727231046
Kia,EV6,Long Range RWD,66.3,168,1980,93,708,33.1,18.6,1,134.0,5.1298987149230735,3.529297384289471
Mini,Countryman E,ALL4,57.0,230,2055,93,462,27.1,17.8,1,364.3,5.442417710521793,3.3357695763397
Volvo,C40 Recharge,Single Motor,67.1,170,1990,92,476,21.3,32.8,1,47.6,5.14166355650266,3.104586678466073
Volvo,XC40 Recharge,Twin Motor,65.1,300,2170,92,438,105.5,34.8,1,239.2,5.707110264748875,4.66814498514948
BYD,Atto 3,Extended Range,60.1,150,1750,92,521,22.4,36.1,2,125.6,5.017279836814924,3.152736022363656
BYD,Seal,Dynamic,59.9,150,1860,94,510,31.2,9.3,0,82.0,5.017279836814924,3.4719664525503626
Tata,Tiago EV,Medium Range,17.1,45,1073,90,250,99.1,44.2,0,108.3,3.828641396489095,4.6061696863211745
Porsche,Taycan,4S,78.5,360,2295,94,512,84.5,22.9,0,486.4,5.8888779583328805,4.448516375942715
Mahindra,XEV 9e,Long Range,50.7,175,1900,93,542,15.2,34.6,1,100.9,5.170483995038151,2.785011242238338
BYD,Seal,Performance,79.8,390,2150,94,580,85.3,30.0,0,501.7,5.968707559985366,4.457829598089382
Mahindra,XEV 9e,Long Range,51.9,175,1900,93,542,36.6,5.5,1,61.1,5.170483995038151,3.6270040503958487
Tata,Nexon EV,Prime LR,35.0,105,1620,91,465,23.4,20.5,2,46.5,4.663439094112067,3.1945831322991562
